location,indicator,subject,measure,frequency,time,value
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2019,18.30612036
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2022,17.95693524
AUS,MEATCONSUMP,PIG,KG_CAP,A,2019,22.2856266
AUS,MEATCONSUMP,PIG,KG_CAP,A,2022,22.59518659
AUS,MEATCONSUMP,POULTRY,KG_CAP,A,2019,44.76740417
AUS,MEATCONSUMP,POULTRY,KG_CAP,A,2022,44.50854129
AUS,MEATCONSUMP,SHEEP,KG_CAP,A,2019,7.209027674
AUS,MEATCONSUMP,SHEEP,KG_CAP,A,2022,7.2516503
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2019,17.64542362
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2022,17.02768638
CAN,MEATCONSUMP,PIG,KG_CAP,A,2019,15.74060441
CAN,MEATCONSUMP,PIG,KG_CAP,A,2022,15.69814945
CAN,MEATCONSUMP,POULTRY,KG_CAP,A,2019,33.87108271
CAN,MEATCONSUMP,POULTRY,KG_CAP,A,2022,34.00175426
CAN,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.889937081
CAN,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.924686662
JPN,MEATCONSUMP,BEEF,KG_CAP,A,2019,7.439556988
JPN,MEATCONSUMP,BEEF,KG_CAP,A,2022,7.524834635
JPN,MEATCONSUMP,PIG,KG_CAP,A,2019,16.15232765
JPN,MEATCONSUMP,PIG,KG_CAP,A,2022,16.41585384
JPN,MEATCONSUMP,POULTRY,KG_CAP,A,2019,16.99627653
JPN,MEATCONSUMP,POULTRY,KG_CAP,A,2022,17.26767564
JPN,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.161048065
JPN,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.161508581
KOR,MEATCONSUMP,BEEF,KG_CAP,A,2019,11.03478361
KOR,MEATCONSUMP,BEEF,KG_CAP,A,2022,11.28357736
KOR,MEATCONSUMP,PIG,KG_CAP,A,2019,30.82063997
KOR,MEATCONSUMP,PIG,KG_CAP,A,2022,31.08638099
KOR,MEATCONSUMP,POULTRY,KG_CAP,A,2019,18.23114872
KOR,MEATCONSUMP,POULTRY,KG_CAP,A,2022,18.83498637
KOR,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.304235299
KOR,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.314165931
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2019,8.773735671
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2022,8.698262698
MEX,MEATCONSUMP,PIG,KG_CAP,A,2019,13.44186095
MEX,MEATCONSUMP,PIG,KG_CAP,A,2022,13.96203321
MEX,MEATCONSUMP,POULTRY,KG_CAP,A,2019,29.24880246
MEX,MEATCONSUMP,POULTRY,KG_CAP,A,2022,29.49180539
MEX,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.517871035
MEX,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.520732273
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2019,11.76642042
NZL,MEATCONSUMP,BEEF,KG_CAP,A,2022,11.49271372
NZL,MEATCONSUMP,PIG,KG_CAP,A,2019,18.93492935
NZL,MEATCONSUMP,PIG,KG_CAP,A,2022,19.15890585
NZL,MEATCONSUMP,POULTRY,KG_CAP,A,2019,39.61331769
NZL,MEATCONSUMP,POULTRY,KG_CAP,A,2022,39.62585423
NZL,MEATCONSUMP,SHEEP,KG_CAP,A,2019,4.583289771
NZL,MEATCONSUMP,SHEEP,KG_CAP,A,2022,4.445869084
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2019,8.573965227
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2022,9.030141961
TUR,MEATCONSUMP,PIG,KG_CAP,A,2019,1.77809E-06
TUR,MEATCONSUMP,PIG,KG_CAP,A,2022,1.72878E-06
TUR,MEATCONSUMP,POULTRY,KG_CAP,A,2019,19.35145439
TUR,MEATCONSUMP,POULTRY,KG_CAP,A,2022,20.10730726
TUR,MEATCONSUMP,SHEEP,KG_CAP,A,2019,4.364629331
TUR,MEATCONSUMP,SHEEP,KG_CAP,A,2022,4.26342754
USA,MEATCONSUMP,BEEF,KG_CAP,A,2019,26.72934861
USA,MEATCONSUMP,BEEF,KG_CAP,A,2022,26.97803945
USA,MEATCONSUMP,PIG,KG_CAP,A,2019,23.30214103
USA,MEATCONSUMP,PIG,KG_CAP,A,2022,23.40706857
USA,MEATCONSUMP,POULTRY,KG_CAP,A,2019,50.07135893
USA,MEATCONSUMP,POULTRY,KG_CAP,A,2022,49.65914477
USA,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.448354716
USA,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.428294094
ARG,MEATCONSUMP,BEEF,KG_CAP,A,2019,39.69304142
ARG,MEATCONSUMP,BEEF,KG_CAP,A,2022,39.16042733
ARG,MEATCONSUMP,PIG,KG_CAP,A,2019,11.10754723
ARG,MEATCONSUMP,PIG,KG_CAP,A,2022,11.69428472
ARG,MEATCONSUMP,POULTRY,KG_CAP,A,2019,38.18208144
ARG,MEATCONSUMP,POULTRY,KG_CAP,A,2022,38.34266601
ARG,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.9600394
ARG,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.965930855
BRA,MEATCONSUMP,BEEF,KG_CAP,A,2019,24.59110025
BRA,MEATCONSUMP,BEEF,KG_CAP,A,2022,24.65119471
BRA,MEATCONSUMP,PIG,KG_CAP,A,2019,12.27119943
BRA,MEATCONSUMP,PIG,KG_CAP,A,2022,12.71791081
BRA,MEATCONSUMP,POULTRY,KG_CAP,A,2019,40.26051685
BRA,MEATCONSUMP,POULTRY,KG_CAP,A,2022,39.95489616
BRA,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.549807667
BRA,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.545999602
CHL,MEATCONSUMP,BEEF,KG_CAP,A,2019,18.89337835
CHL,MEATCONSUMP,BEEF,KG_CAP,A,2022,19.4393838
CHL,MEATCONSUMP,PIG,KG_CAP,A,2019,19.26628942
CHL,MEATCONSUMP,PIG,KG_CAP,A,2022,20.07727571
CHL,MEATCONSUMP,POULTRY,KG_CAP,A,2019,36.81557077
CHL,MEATCONSUMP,POULTRY,KG_CAP,A,2022,37.67510301
CHL,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.414654237
CHL,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.415743382
CHN,MEATCONSUMP,BEEF,KG_CAP,A,2019,3.807054489
CHN,MEATCONSUMP,BEEF,KG_CAP,A,2022,3.890686667
CHN,MEATCONSUMP,PIG,KG_CAP,A,2019,29.25048596
CHN,MEATCONSUMP,PIG,KG_CAP,A,2022,30.88509387
CHN,MEATCONSUMP,POULTRY,KG_CAP,A,2019,12.1347009
CHN,MEATCONSUMP,POULTRY,KG_CAP,A,2022,12.44638719
CHN,MEATCONSUMP,SHEEP,KG_CAP,A,2019,3.176851832
CHN,MEATCONSUMP,SHEEP,KG_CAP,A,2022,3.30203289
COL,MEATCONSUMP,BEEF,KG_CAP,A,2019,10.67630781
COL,MEATCONSUMP,BEEF,KG_CAP,A,2022,11.1607539
COL,MEATCONSUMP,PIG,KG_CAP,A,2019,8.041789471
COL,MEATCONSUMP,PIG,KG_CAP,A,2022,8.614430445
COL,MEATCONSUMP,POULTRY,KG_CAP,A,2019,31.12453206
COL,MEATCONSUMP,POULTRY,KG_CAP,A,2022,32.76300422
COL,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.143945571
COL,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.143891028
EGY,MEATCONSUMP,BEEF,KG_CAP,A,2019,8.21757939
EGY,MEATCONSUMP,BEEF,KG_CAP,A,2022,8.401148169
EGY,MEATCONSUMP,PIG,KG_CAP,A,2019,0.007140592
EGY,MEATCONSUMP,PIG,KG_CAP,A,2022,0.007188989
EGY,MEATCONSUMP,POULTRY,KG_CAP,A,2019,12.08948995
EGY,MEATCONSUMP,POULTRY,KG_CAP,A,2022,12.66381278
EGY,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.089665037
EGY,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.111324761
ETH,MEATCONSUMP,BEEF,KG_CAP,A,2019,2.543671858
ETH,MEATCONSUMP,BEEF,KG_CAP,A,2022,2.525849243
ETH,MEATCONSUMP,PIG,KG_CAP,A,2019,0.014617973
ETH,MEATCONSUMP,PIG,KG_CAP,A,2022,0.014765998
ETH,MEATCONSUMP,POULTRY,KG_CAP,A,2019,0.114176719
ETH,MEATCONSUMP,POULTRY,KG_CAP,A,2022,0.110966835
ETH,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.354683314
ETH,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.359566992
IND,MEATCONSUMP,BEEF,KG_CAP,A,2019,0.52973188
IND,MEATCONSUMP,BEEF,KG_CAP,A,2022,0.539176688
IND,MEATCONSUMP,PIG,KG_CAP,A,2019,0.167764805
IND,MEATCONSUMP,PIG,KG_CAP,A,2022,0.166583778
IND,MEATCONSUMP,POULTRY,KG_CAP,A,2019,2.455497802
IND,MEATCONSUMP,POULTRY,KG_CAP,A,2022,2.652119946
IND,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.462147524
IND,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.463648114
IDN,MEATCONSUMP,BEEF,KG_CAP,A,2019,1.983905667
IDN,MEATCONSUMP,BEEF,KG_CAP,A,2022,2.044999199
IDN,MEATCONSUMP,PIG,KG_CAP,A,2019,1.005566466
IDN,MEATCONSUMP,PIG,KG_CAP,A,2022,1.016200843
IDN,MEATCONSUMP,POULTRY,KG_CAP,A,2019,7.5693057
IDN,MEATCONSUMP,POULTRY,KG_CAP,A,2022,7.944843707
IDN,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.42902954
IDN,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.435464251
IRN,MEATCONSUMP,BEEF,KG_CAP,A,2019,5.286695017
IRN,MEATCONSUMP,BEEF,KG_CAP,A,2022,5.546350509
IRN,MEATCONSUMP,PIG,KG_CAP,A,2019,0.016953212
IRN,MEATCONSUMP,PIG,KG_CAP,A,2022,0.0165221
IRN,MEATCONSUMP,POULTRY,KG_CAP,A,2019,22.94347932
IRN,MEATCONSUMP,POULTRY,KG_CAP,A,2022,23.67903853
IRN,MEATCONSUMP,SHEEP,KG_CAP,A,2019,4.047227009
IRN,MEATCONSUMP,SHEEP,KG_CAP,A,2022,4.106759285
ISR,MEATCONSUMP,BEEF,KG_CAP,A,2019,20.32762739
ISR,MEATCONSUMP,BEEF,KG_CAP,A,2022,20.34791123
ISR,MEATCONSUMP,PIG,KG_CAP,A,2019,1.362841632
ISR,MEATCONSUMP,PIG,KG_CAP,A,2022,1.304312552
ISR,MEATCONSUMP,POULTRY,KG_CAP,A,2019,65.11181533
ISR,MEATCONSUMP,POULTRY,KG_CAP,A,2022,66.49155794
ISR,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.602974059
ISR,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.67616265
KAZ,MEATCONSUMP,BEEF,KG_CAP,A,2019,19.47135719
KAZ,MEATCONSUMP,BEEF,KG_CAP,A,2022,20.14563852
KAZ,MEATCONSUMP,PIG,KG_CAP,A,2019,4.772571108
KAZ,MEATCONSUMP,PIG,KG_CAP,A,2022,4.666108813
KAZ,MEATCONSUMP,POULTRY,KG_CAP,A,2019,15.22826608
KAZ,MEATCONSUMP,POULTRY,KG_CAP,A,2022,15.84169041
KAZ,MEATCONSUMP,SHEEP,KG_CAP,A,2019,8.300989816
KAZ,MEATCONSUMP,SHEEP,KG_CAP,A,2022,8.576195602
MYS,MEATCONSUMP,BEEF,KG_CAP,A,2019,5.304361005
MYS,MEATCONSUMP,BEEF,KG_CAP,A,2022,5.633295091
MYS,MEATCONSUMP,PIG,KG_CAP,A,2019,5.301046773
MYS,MEATCONSUMP,PIG,KG_CAP,A,2022,5.247269642
MYS,MEATCONSUMP,POULTRY,KG_CAP,A,2019,49.00225979
MYS,MEATCONSUMP,POULTRY,KG_CAP,A,2022,50.10868769
MYS,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.164512079
MYS,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.211955349
NGA,MEATCONSUMP,BEEF,KG_CAP,A,2019,1.341541694
NGA,MEATCONSUMP,BEEF,KG_CAP,A,2022,1.343793874
NGA,MEATCONSUMP,PIG,KG_CAP,A,2019,1.048183092
NGA,MEATCONSUMP,PIG,KG_CAP,A,2022,1.02147277
NGA,MEATCONSUMP,POULTRY,KG_CAP,A,2019,0.860357859
NGA,MEATCONSUMP,POULTRY,KG_CAP,A,2022,0.798833284
NGA,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.738418591
NGA,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.72236415
PAK,MEATCONSUMP,BEEF,KG_CAP,A,2019,6.394923855
PAK,MEATCONSUMP,BEEF,KG_CAP,A,2022,6.559087324
PAK,MEATCONSUMP,PIG,KG_CAP,A,2019,3.81238E-06
PAK,MEATCONSUMP,PIG,KG_CAP,A,2022,3.61405E-06
PAK,MEATCONSUMP,POULTRY,KG_CAP,A,2019,5.971913958
PAK,MEATCONSUMP,POULTRY,KG_CAP,A,2022,6.098527059
PAK,MEATCONSUMP,SHEEP,KG_CAP,A,2019,2.052537077
PAK,MEATCONSUMP,SHEEP,KG_CAP,A,2022,2.023608641
PRY,MEATCONSUMP,BEEF,KG_CAP,A,2019,13.67639042
PRY,MEATCONSUMP,BEEF,KG_CAP,A,2022,13.81970038
PRY,MEATCONSUMP,PIG,KG_CAP,A,2019,21.35359421
PRY,MEATCONSUMP,PIG,KG_CAP,A,2022,21.80032868
PRY,MEATCONSUMP,POULTRY,KG_CAP,A,2019,5.296231246
PRY,MEATCONSUMP,POULTRY,KG_CAP,A,2022,5.220083228
PRY,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.502371406
PRY,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.496710975
PER,MEATCONSUMP,BEEF,KG_CAP,A,2019,4.141651449
PER,MEATCONSUMP,BEEF,KG_CAP,A,2022,4.21883584
PER,MEATCONSUMP,PIG,KG_CAP,A,2019,4.182962742
PER,MEATCONSUMP,PIG,KG_CAP,A,2022,4.37673305
PER,MEATCONSUMP,POULTRY,KG_CAP,A,2019,45.04540167
PER,MEATCONSUMP,POULTRY,KG_CAP,A,2022,46.44761995
PER,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.060172783
PER,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.0515
PHL,MEATCONSUMP,BEEF,KG_CAP,A,2019,3.118674588
PHL,MEATCONSUMP,BEEF,KG_CAP,A,2022,3.177302735
PHL,MEATCONSUMP,PIG,KG_CAP,A,2019,14.66527908
PHL,MEATCONSUMP,PIG,KG_CAP,A,2022,14.97436322
PHL,MEATCONSUMP,POULTRY,KG_CAP,A,2019,13.49723087
PHL,MEATCONSUMP,POULTRY,KG_CAP,A,2022,14.13252141
PHL,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.516354623
PHL,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.524669708
RUS,MEATCONSUMP,BEEF,KG_CAP,A,2019,10.34566206
RUS,MEATCONSUMP,BEEF,KG_CAP,A,2022,10.49384643
RUS,MEATCONSUMP,PIG,KG_CAP,A,2019,20.09759769
RUS,MEATCONSUMP,PIG,KG_CAP,A,2022,21.35984361
RUS,MEATCONSUMP,POULTRY,KG_CAP,A,2019,31.67167494
RUS,MEATCONSUMP,POULTRY,KG_CAP,A,2022,31.64915927
RUS,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.443780665
RUS,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.462987345
SAU,MEATCONSUMP,BEEF,KG_CAP,A,2019,4.019767966
SAU,MEATCONSUMP,BEEF,KG_CAP,A,2022,4.130633419
SAU,MEATCONSUMP,PIG,KG_CAP,A,2019,0.498059464
SAU,MEATCONSUMP,PIG,KG_CAP,A,2022,0.475026932
SAU,MEATCONSUMP,POULTRY,KG_CAP,A,2019,32.4257731
SAU,MEATCONSUMP,POULTRY,KG_CAP,A,2022,32.82219588
SAU,MEATCONSUMP,SHEEP,KG_CAP,A,2019,3.815900355
SAU,MEATCONSUMP,SHEEP,KG_CAP,A,2022,3.756824008
ZAF,MEATCONSUMP,BEEF,KG_CAP,A,2019,12.3555298
ZAF,MEATCONSUMP,BEEF,KG_CAP,A,2022,13.05823843
ZAF,MEATCONSUMP,PIG,KG_CAP,A,2019,3.44975531
ZAF,MEATCONSUMP,PIG,KG_CAP,A,2022,3.541511388
ZAF,MEATCONSUMP,POULTRY,KG_CAP,A,2019,34.01869166
ZAF,MEATCONSUMP,POULTRY,KG_CAP,A,2022,34.91859272
ZAF,MEATCONSUMP,SHEEP,KG_CAP,A,2019,2.612756574
ZAF,MEATCONSUMP,SHEEP,KG_CAP,A,2022,2.617564639
THA,MEATCONSUMP,BEEF,KG_CAP,A,2019,1.311029013
THA,MEATCONSUMP,BEEF,KG_CAP,A,2022,1.342223308
THA,MEATCONSUMP,PIG,KG_CAP,A,2019,9.990858905
THA,MEATCONSUMP,PIG,KG_CAP,A,2022,10.22630049
THA,MEATCONSUMP,POULTRY,KG_CAP,A,2019,7.992831013
THA,MEATCONSUMP,POULTRY,KG_CAP,A,2022,8.201586344
THA,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.043616124
THA,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.048491407
UKR,MEATCONSUMP,BEEF,KG_CAP,A,2019,5.032824304
UKR,MEATCONSUMP,BEEF,KG_CAP,A,2022,5.148007377
UKR,MEATCONSUMP,PIG,KG_CAP,A,2019,12.54214575
UKR,MEATCONSUMP,PIG,KG_CAP,A,2022,13.22672876
UKR,MEATCONSUMP,POULTRY,KG_CAP,A,2019,22.28169612
UKR,MEATCONSUMP,POULTRY,KG_CAP,A,2022,23.63032175
UKR,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.282493831
UKR,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.295304472
VNM,MEATCONSUMP,BEEF,KG_CAP,A,2019,9.457514209
VNM,MEATCONSUMP,BEEF,KG_CAP,A,2022,10.21088791
VNM,MEATCONSUMP,PIG,KG_CAP,A,2019,29.95709986
VNM,MEATCONSUMP,PIG,KG_CAP,A,2022,30.91918872
VNM,MEATCONSUMP,POULTRY,KG_CAP,A,2019,13.49757115
VNM,MEATCONSUMP,POULTRY,KG_CAP,A,2022,13.92458065
VNM,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.169773204
VNM,MEATCONSUMP,SHEEP,KG_CAP,A,2022,0.192708734
WLD,MEATCONSUMP,BEEF,KG_CAP,A,2019,6.431303888
WLD,MEATCONSUMP,BEEF,KG_CAP,A,2022,6.452659433
WLD,MEATCONSUMP,PIG,KG_CAP,A,2019,11.97868171
WLD,MEATCONSUMP,PIG,KG_CAP,A,2022,12.18152779
WLD,MEATCONSUMP,POULTRY,KG_CAP,A,2019,14.29808692
WLD,MEATCONSUMP,POULTRY,KG_CAP,A,2022,14.40494775
WLD,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.726259653
WLD,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.751995773
EU27,MEATCONSUMP,BEEF,KG_CAP,A,2019,10.74675561
EU27,MEATCONSUMP,BEEF,KG_CAP,A,2022,10.48371177
EU27,MEATCONSUMP,PIG,KG_CAP,A,2019,34.57849038
EU27,MEATCONSUMP,PIG,KG_CAP,A,2022,35.20932949
EU27,MEATCONSUMP,POULTRY,KG_CAP,A,2019,23.14789387
EU27,MEATCONSUMP,POULTRY,KG_CAP,A,2022,23.43903964
EU27,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.392569971
EU27,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.424766217
OECD,MEATCONSUMP,BEEF,KG_CAP,A,2019,14.62124587
OECD,MEATCONSUMP,BEEF,KG_CAP,A,2022,14.66297204
OECD,MEATCONSUMP,PIG,KG_CAP,A,2019,23.45464771
OECD,MEATCONSUMP,PIG,KG_CAP,A,2022,23.6956193
OECD,MEATCONSUMP,POULTRY,KG_CAP,A,2019,30.74769454
OECD,MEATCONSUMP,POULTRY,KG_CAP,A,2022,30.9828643
OECD,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.341242033
OECD,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.348967676
BRICS,MEATCONSUMP,BEEF,KG_CAP,A,2019,4.233456211
BRICS,MEATCONSUMP,BEEF,KG_CAP,A,2022,4.278107768
BRICS,MEATCONSUMP,PIG,KG_CAP,A,2019,14.81843366
BRICS,MEATCONSUMP,PIG,KG_CAP,A,2022,15.47171846
BRICS,MEATCONSUMP,POULTRY,KG_CAP,A,2019,11.13799842
BRICS,MEATCONSUMP,POULTRY,KG_CAP,A,2022,11.29366549
BRICS,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.754559914
BRICS,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.798034173
NOR,MEATCONSUMP,BEEF,KG_CAP,A,2019,13.70363637
NOR,MEATCONSUMP,BEEF,KG_CAP,A,2022,13.6252894
NOR,MEATCONSUMP,PIG,KG_CAP,A,2019,19.73607987
NOR,MEATCONSUMP,PIG,KG_CAP,A,2022,19.91650687
NOR,MEATCONSUMP,POULTRY,KG_CAP,A,2019,17.57960799
NOR,MEATCONSUMP,POULTRY,KG_CAP,A,2022,17.75926702
NOR,MEATCONSUMP,SHEEP,KG_CAP,A,2019,4.391794527
NOR,MEATCONSUMP,SHEEP,KG_CAP,A,2022,4.447985575
CHE,MEATCONSUMP,BEEF,KG_CAP,A,2019,13.22010629
CHE,MEATCONSUMP,BEEF,KG_CAP,A,2022,13.08473259
CHE,MEATCONSUMP,PIG,KG_CAP,A,2019,22.50090036
CHE,MEATCONSUMP,PIG,KG_CAP,A,2022,22.38965544
CHE,MEATCONSUMP,POULTRY,KG_CAP,A,2019,14.30701789
CHE,MEATCONSUMP,POULTRY,KG_CAP,A,2022,14.44470374
CHE,MEATCONSUMP,SHEEP,KG_CAP,A,2019,1.148355566
CHE,MEATCONSUMP,SHEEP,KG_CAP,A,2022,1.134687061
GBR,MEATCONSUMP,BEEF,KG_CAP,A,2019,11.66680559
GBR,MEATCONSUMP,BEEF,KG_CAP,A,2022,11.73459757
GBR,MEATCONSUMP,PIG,KG_CAP,A,2019,17.03141997
GBR,MEATCONSUMP,PIG,KG_CAP,A,2022,16.72695057
GBR,MEATCONSUMP,POULTRY,KG_CAP,A,2019,28.31632982
GBR,MEATCONSUMP,POULTRY,KG_CAP,A,2022,28.2825234
GBR,MEATCONSUMP,SHEEP,KG_CAP,A,2019,4.121555744
GBR,MEATCONSUMP,SHEEP,KG_CAP,A,2022,4.156850758
